Word-Expression,English,Arabic,Kurdish
Authentication ,,,
,,,
Login,Log in,تسجيل دخول,چوونەژوورەوە
Login and unlock your next ride,Log in to find your perfect car,قم بتسجيل الدخول للعثور على سيارتك المثالية,بۆ دۆزینەوەی ئۆتۆمبێلە تەواوەکەت بچۆرە ژوورەوە
Don't have account?,Don’t have an account?,ليس لديك حساب؟,هەژمارت نییە؟
Sign up,Sign up,قم بالتسجيل,بەشداری بکە
Enter code,Enter code,ادخل الرمز,کۆدەکە داخڵ بکە 
A one time password has been sent to your whatsApp,A one time password has been sent to your WhatsApp.,تم إرسال كلمة المرور لمرة واحدة إلى الواتساب الخاص بك.,وشەی نهێنی یەکجارەکی بۆ واتساپەکەت نێردراوە.
Resend on WhatsApp,Resend on Whatsapp,إعادة الإرسال على الواتساب,دووبارە بنێرە لە واتساپ
Resend as SMS,Resend as SMS,إعادة الإرسال كرسالة SMS,دووبارە بە SMS بنێرە
One step away from your perfect drive.,One step away from your perfect car.,على بعد خطوة من سيارتك المثالية,هەنگاوێک لە ئۆتۆمبێلە تەواوەکەت دوورە
Already have an account?,Already have an account?,لديك حساب بالفعل؟,هەژمارت هەیە؟ 
"By clicking sign up, you agree to the Terms and Conditions ","By clicking sign up, you agree to the Terms and Conditions ",بالضغط على تسجيل فإنك توافق على الأحكام والشروط,بە کرتەکردن لەسەر تۆمارکردن تۆ ڕەزامەندیت لەسەر مەرج و ڕێساکان.
and confirm you have read our Privacy policy,and confirm you have read our Privacy policy,وتأكد من أنك قرأت سياسة الخصوصية الخاصة بنا,و پشتڕاستی بکەرەوە کە سیاسەتی پاراستنی نهێنی ئێمەت خوێندووەتەوە
Account type,Account type,نوع الحساب,جۆری ئەکاونت
Personal,Personal,شخصي,کەسی
Dealer,Dealer,تاجر,بازرگان
Brand,Brand,وكالة,بريكار
Basic details,Basic details,التفاصيل الأساسية,وردەکارییە بنەڕەتییەکان
Address,Address,العنوان,ناونیشان 
Submit,Submit,تقديم ,پێشکەشکردن
Select your business focus,Select your business focus,اختر مجال عملك,بوارى کارەکەت هەڵبژێرە
Cars,Cars,سيارات ,ئۆتۆمبێل
Spares,Spares,قطع غيار,پارچەی یەدەگ
Both,Both,كلاهما,هەردووک
A one time password has been sent to your email.,A one time password has been sent to your email.,لقد تم إرسال كلمة مرور لمرة واحدة إلى بريدك الإلكتروني.,وشەی نهێنی یەکجارەکی بۆ ئیمەیڵەکەت نێردراوە.
A one time password has been sent to your Phone number ,A one time password has been sent to your phone number ,لقد تم إرسال كلمة مرور لمرة واحدة إلى رقم هاتفك,وشەی نهێنی یەکجارەکی بۆ ژمارەی تەلەفۆنەکەت نێردراوە
Date of birth,Date of birth,تاريخ الميلاد,بەرواری لەدایکبوون
Continue,Continue,استمر,بەردەوام بە 
Dealership details,Dealership details,تفاصيل المعرض,وردەکاری پێشانگاکە
Dealership phone number,Dealership phone number,رقم هاتف المعرض,ژمارەی تەلەفۆنی پێشانگاکە
Service provider,Sales agent,وكيل المبيعات,بریکاری فرۆشتن
Web or social media ,Website or social media ,الموقع الإلكتروني أو وسائل التواصل الاجتماعي,ماڵپەڕ یان سۆشیال میدیا
Working hours,Working hours,ساعات العمل,کاتەکانی کارکردن
About your dealership,About your dealership,حول معرضك,نزیکەی پێشانگاکە
Upload dealership KYC documents,Upload dealership KYC documents,تحميل ملفات اعرف عميلك (KYC) الخاصة بالمعرض,فایلەکانی کڕیارەکەت بناسە (KYC)ی پێشانگاکە باربکە
working hours,Working hours,ساعات العمل,کاتەکانی کارکردن
Sunday,Sunday,الأحد,یەک شەممە 
Monday,Monday,الاثنين,دووشەممە
Tuesday,Tuesday,الثلاثاء,سێ شەممە 
Wednesday,Wednesday,الأربعاء,چوار شەممە 
Thursday,Thursday,الخميس,پێنج شەممە 
Friday,Friday,الجمعة,هەینی 
Saturday,Saturday,السبت,شەممە 
Dealership KYC documents,Dealership KYC documents,ملفات اعرف عميلك (KYC) الخاصة بالمعرض,پێشانگا فایلەکانی کڕیارەکەت بناسە (KYC).
Manager’s full name,Manager's name,اسم المدير,ناوی بەڕێوەبەر
Brand details,Brand details,تفاصيل الوكالة,وردەکارییەکانی بریکارەکە
Brand name,Brand name,أسم الوكالة,ناوی بریکار
Brand phone number,Brand phone number,رقم هاتف الوكالة,ژمارەی تەلەفۆنی بریکارەکە
Sales agent ,Sales agent,وكيل المبيعات,بریکاری فرۆشتن
Web or social media ,Website or social media ,الموقع الإلكتروني أو وسائل التواصل الاجتماعي,ماڵپەڕ یان سۆشیال میدیا
Upload brand KYC documents,Upload brand KYC documents,تحميل ملفات اعرف عميلك (KYC) الخاصة بالوكالة,فایلەکانی کڕیارەکەت بناسە (KYC). بریکارەکە دابەزێنە
Click to download or drag and drop,Click to upload or drag and drop,اضغط للتحميل أو السحب والإفلات,بۆ بارکردن یان ڕاکێشان و دابەزاندن کلیک بکە
Brand KYC documents,Brand KYC documents,ملفات اعرف عميلك (KYC) الخاصة بالوكالة,فایلەکانی دەزگای کڕیارەکەت بناسە (KYC).
About your brand,About your brand,معلومات عن الوكالة,زانیاری دەربارەی بریکارەکە
,,,
,,,
,,,
,,,
,,,
car details,,,
,,,
Basic,Basic details,التفاصيل الأساسية,وردەکارییە بنەڕەتییەکان
