Word-Expression,English,Arabic,Kurdish
Authentication ,,,
,,,
Login,Log in,تسجيل دخول,چوونەژوورەوە
Login and unlock your next ride,Log in to find your perfect car,قم بتسجيل الدخول للعثور على سيارتك المثالية,بۆ دۆزینەوەی ئۆتۆمبێلە تەواوەکەت بچۆرە ژوورەوە
Don't have account?,Don’t have an account?,ليس لديك حساب؟,هەژمارت نییە؟
Sign up,Sign up,قم بالتسجيل,بەشداری بکە
Enter code,Enter code,ادخل الرمز,کۆدەکە داخڵ بکە 
A one time password has been sent to your whatsApp,A one time password has been sent to your WhatsApp.,تم إرسال كلمة المرور لمرة واحدة إلى الواتساب الخاص بك.,وشەی نهێنی یەکجارەکی بۆ واتساپەکەت نێردراوە.
Resend on WhatsApp,Resend on Whatsapp,إعادة الإرسال على الواتساب,دووبارە بنێرە لە واتساپ
Resend as SMS,Resend as SMS,إعادة الإرسال كرسالة SMS,دووبارە بە SMS بنێرە
One step away from your perfect drive.,One step away from your perfect car.,على بعد خطوة من سيارتك المثالية,هەنگاوێک لە ئۆتۆمبێلە تەواوەکەت دوورە
Already have an account?,Already have an account?,لديك حساب بالفعل؟,هەژمارت هەیە؟ 
"By clicking sign up, you agree to the Terms and Conditions ","By clicking sign up, you agree to the Terms and Conditions ",بالضغط على تسجيل فإنك توافق على الأحكام والشروط,بە کرتەکردن لەسەر تۆمارکردن تۆ ڕەزامەندیت لەسەر مەرج و ڕێساکان.
and confirm you have read our Privacy policy,and confirm you have read our Privacy policy,وتأكد من أنك قرأت سياسة الخصوصية الخاصة بنا,و پشتڕاستی بکەرەوە کە سیاسەتی پاراستنی نهێنی ئێمەت خوێندووەتەوە
Account type,Account type,نوع الحساب,جۆری ئەکاونت
Personal,Personal,شخصي,کەسی
Dealer,Dealer,تاجر,بازرگان
Brand,Brand,وكالة,بريكار
Phone number or email,Phone number or ِEmail,رقم الهاتف أو البريد الإلكتروني,ژمارەی تەلەفۆن یان ئیمەیڵ
Email,Email,البريد الإلكتروني,ئیمەیڵ
Phone number,Phone number,رقم الهاتف,ژمارەی تەلەفۆن
Basic details,Basic details,التفاصيل الأساسية,وردەکارییە بنەڕەتییەکان
Submit,Submit,تقديم ,پێشکەشکردن
A one time password has been sent to your email.,A one time password has been sent to your email.,لقد تم إرسال كلمة مرور لمرة واحدة إلى بريدك الإلكتروني.,وشەی نهێنی یەکجارەکی بۆ ئیمەیڵەکەت نێردراوە.
A one time password has been sent to your Phone number ,A one time password has been sent to your phone number ,لقد تم إرسال كلمة مرور لمرة واحدة إلى رقم هاتفك,وشەی نهێنی یەکجارەکی بۆ ژمارەی تەلەفۆنەکەت نێردراوە
Date of birth,Date of birth,تاريخ الميلاد,بەرواری لەدایکبوون
Continue,Continue,استمر,بەردەوام بە 
City,City,المدينة,شار
Full name,Full name,الاسم الكامل,ناوی سیانی 
Sell Smarter with Ako Sayara,Sell smarter with Ako Sayara,بيع بذكاء مع اكو سيارة,بە زیرەکی بفڕۆ لەگەڵ ئەکو سەیارە
"Download our exclusive Dealers App to advertise your cars, manage offers, and grow your business.","Download our Dealers app to advertise your cars, manage offers, and grow your business.",حمل تطبيق التاجر الخاص بنا للإعلان عن سياراتك وإدارة العروض وتنمية أعمالك.,ئەپی بریکارەکەمان دابەزێنە بۆ ڕیکلامکردن بۆ ئۆتۆمبێلەکانت و بەڕێوەبردنی ئۆفەرەکان و گەشەپێدانی کارەکەت.
Governorate,Governorate,المحافظة,پارێزگاکە
Search for a Governorate,Search governorates,البحث عن المحافظة,گەڕان بەدوای پارێزگادا
Search for a City,Search cities,البحث في المدن,لە شارەکاندا بگەڕێ
Next,Next,التالي,داهاتوو
Done,Select,اختر,هەڵبژێرە
cancel,Cancel,إلغاء,هەڵوەشاندنەوە
Didn’t receive the code? sign up with email,Didn’t receive the code? Sign up using your email.,لم تستلم الرمز؟ سجّل باستخدام بريدك الإلكتروني.,ئایا کۆدەکەی وەرنەگرتووە؟ بە بەکارهێنانی ئیمەیڵەکەت ناوت تۆمار بکە.
Didn’t receive the code? sign up with phone number,Didn’t receive the code? Sign up using your phone number.,لم تستلم الرمز؟ سجّل باستخدام رقم هاتفك.,ئایا کۆدەکەی وەرنەگرتووە؟ بە بەکارهێنانی ژمارەی تەلەفۆنەکەت ناوت تۆمار بکە.
Select date,Select date,حدد التاريخ,بەروار هەڵبژێرە
,,,
Home ,,,
,,,
All,All,الكل,گشت
Buy a car,Buy a car,شراء سيارة,کڕینی ئۆتۆمبێل
Rent a car,Rent a car,تأجير سيارة,بە کرێدانی ئۆتۆمبێل
Spares,Spares,قطع غيار,پارچەی یەدەگ
Features,Features,المميزات,تایبەتمەندییەکان
Check your car,Check your car,تحقق من سيارتك,دڵنیابه لە ئۆتۆمبێلەکەت
Compare,Compare,مقارنة ,بەراورد
Journey,Journey,الرحلة,گەشتەکە
Trending,Trending,الأكثر رواجًا,ترێندینگ
View all,View all,عرض الكل,بینینی هەموو
Private ad,Private ad,إعلان خاص,ڕیکلامی تایبەت
Brand warranty,Brand warranty,ضمان الوكالة,گەرەنتی بریکارەکە
Rent deals,Rent deals,عروض الإيجار,گرێبەستی کرێ
Browse by brand,Browse by brand,تصفح حسب الماركة,بەپێی کۆمپانیا بگەڕێ
